DPH,Temperature,Tank,Diet,SL,Eye,Head,Trunk,Notochord
12,24,4,2,4.687,0.378,1.145,0.871,2.97
12,24,4,2,3.752,0.44,0.948,0.672,2.113
12,24,4,2,4.349,0.427,1.002,0.735,2.616
12,24,4,2,4.097,0.415,1.031,0.665,2.389
12,24,4,2,3.719,0.48,0.994,0.61,2.228
12,24,4,2,4.773,0.481,1.202,0.695,2.968
12,24,4,2,3.977,0.416,0.941,0.616,2.169
12,24,4,2,4.188,0.571,1.003,0.614,2.538
12,24,4,2,5.798,0.494,1.328,0.92,3.437
12,24,4,2,5.199,0.419,0.519,1.091,2.864
12,24,7,2,3.844,0.41,1.019,0.619,2.287
12,24,7,2,4.37,0.451,1.219,0.78,2.459
12,24,7,2,4.831,0.442,1.16,0.869,2.669
12,24,7,2,4.748,0.46,1.231,0.731,2.679
12,24,7,2,5.019,0.498,1.226,0.84,3.072
12,24,7,2,4.276,0.415,1.053,0.802,2.555
12,24,7,2,4.097,0.373,0.91,0.578,2.612
12,24,7,2,4.465,0.416,1.101,0.871,2.577
12,24,7,2,4.571,0.493,1.147,0.723,2.63
12,24,7,2,4.286,0.452,1.106,0.815,2.439
12,24,11,2,5.894,0.558,1.541,1.156,3.381
12,24,11,2,4.598,0.465,1.11,0.721,2.203
12,24,11,2,5.754,0.521,1.511,1.091,3.009
12,24,11,2,5.329,0.526,1.538,1.052,2.979
12,24,11,2,6.141,0.599,1.617,1.125,3.039
12,24,11,2,4.676,0.459,1.189,0.984,2.691
12,24,11,2,5.019,0.452,1.308,1.031,2.688
12,24,11,2,4.744,0.437,1.22,0.916,2.628
12,24,11,2,5.298,0.521,1.467,1.012,2.681
12,24,11,2,4.235,0.386,0.967,0.717,2.171
12,24,14,2,4.76,0.48,1.124,0.772,2.88
12,24,14,2,4.348,0.504,1.072,0.773,2.73
12,24,14,2,4.059,0.426,0.857,0.674,2.492
12,24,14,2,4.521,0.489,1.036,0.744,2.857
12,24,14,2,4.289,0.427,0.911,0.585,2.697
12,24,14,2,4.259,0.463,0.989,0.642,2.525
12,24,14,2,4.259,0.455,1.023,0.565,2.582
12,24,14,2,3.751,0.367,0.776,0.517,2.335
12,24,14,2,4.278,0.416,0.912,0.59,2.625
12,24,14,2,4.538,0.49,1.029,0.666,2.722
16,24,1,3,7.09,0.642,1.815,1.548,4.149
16,24,1,3,5.033,0.492,1.24,0.993,3.217
16,24,1,3,4.669,0.454,1.132,0.886,2.816
16,24,1,3,4.626,0.465,1.123,0.848,2.874
16,24,1,3,4.815,0.475,1.123,0.808,2.819
16,24,1,3,6.067,0.555,1.586,1.171,3.407
16,24,1,3,6.443,0.582,1.643,1.247,3.731
16,24,1,3,6.393,0.575,1.741,1.256,3.589
16,24,1,3,7.06,0.615,1.893,1.425,4.007
16,24,1,3,7.327,0.653,1.95,1.418,4.111
16,24,4,3,5.918,0.522,1.421,1.216,3.566
16,24,4,3,6.181,0.583,1.578,1.19,3.3
16,24,4,3,6.285,0.636,1.596,1.205,3.623
16,24,4,3,5.864,0.561,1.615,1.13,3.419
16,24,4,3,7.308,0.658,1.838,1.569,3.948
16,24,4,3,6.054,0.613,1.608,1.216,3.708
16,24,4,3,6.694,0.664,1.589,1.457,4.107
16,24,4,3,6.958,0.667,1.737,1.423,4.004
16,24,4,3,7.001,0.656,1.686,1.455,4.214
16,24,4,3,6.873,0.647,1.723,1.451,3.994
16,24,7,3,5.69,0.573,1.566,1.067,3.243
16,24,7,3,5.537,0.544,1.353,1.015,3.171
16,24,7,3,5.899,0.585,1.505,1.145,3.477
16,24,7,3,5.826,0.583,1.565,1.107,3.105
