Comp.1,Comp.2,DPH,Temperature,SL,Cluster
-2.133378253441094,-0.1991948834190729,7,24,3.391,1
-2.0759211610651604,-0.12688118330698805,7,24,3.388,1
1.8216732084580967,1.1776624048777682,12,24,8.394,2
1.4858170510935411,1.333151204306913,12,24,7.613,2
1.2793611917848982,0.7644387454540961,12,24,7.421,2
1.729281097595336,0.7462999580451746,12,24,7.408,2
2.0192856169444915,1.1045389626263005,12,24,8.849,2
1.7784392358735126,0.739486088146707,12,24,8.519,2
1.3741268579138588,0.9811154940853516,12,24,7.702,2
1.2622755547998408,0.7217616214400812,12,24,7.862,2
1.5750138425927502,0.5610054063387221,12,24,7.796,2
2.4472791436869863,0.5893888884701247,12,24,8.827,2
-1.0555279811808735,0.13469339701937014,12,24,4.687,1
-1.6233618370525102,-0.1425078993380992,12,24,3.752,1
-1.2966928905494646,0.09040677384695832,12,24,4.349,1
-1.4721099748900532,4.925822910900478e-4,12,24,4.097,1
-1.5232636443380363,-0.006786256164108435,12,24,3.719,1
-0.9182706823632284,0.33151901761311714,12,24,4.773,1
-1.6427355639155663,-0.0734115161924116,12,24,3.977,1
-1.1498691179577198,0.2281096896447487,12,24,4.188,1
-0.3594243018683352,0.4112660829266339,12,24,5.798,2
-1.106339162330906,0.024520967396528322,12,24,5.199,1
-1.593976303566744,-0.0234881800129919,12,24,3.844,1
-1.1796783536614543,-0.06665525334075972,12,24,4.37,1
-1.017891635133172,-0.008755866614979811,12,24,4.831,1
-1.0367463763071012,0.11087331381309451,12,24,4.748,1
-0.7144360927884876,0.27790555457578886,12,24,5.019,1
-1.2936699346515466,-0.019035414346197443,12,24,4.276,1
-1.5720767893199616,0.2048276651467139,12,24,4.097,1
-1.1906084213714663,-0.0713738552906844,12,24,4.465,1
-1.0678224522915887,0.12177856263744012,12,24,4.571,1
-1.2339824384534064,-0.08752994211741091,12,24,4.286,1
-0.013990896433184881,0.1775915082832912,12,24,5.894,2
-1.2942849137336978,-0.1412362927735597,12,24,4.598,1
-0.29653708942988266,-0.006553778135935629,12,24,5.754,2
-0.37988703882417973,0.0046164067659291525,12,24,5.329,1
-0.0041554558072191125,0.010244234078871005,12,24,6.141,2
-0.9276211248403675,-0.088700247303368715,12,24,4.676,1
-0.8009737601888949,-0.1542036083195843,12,24,5.019,1
-1.0033755294463282,-0.08700847014226411,12,24,4.744,1
-0.5618031868272444,-0.13003577470561678,12,24,5.298,1
-1.5862329129367176,-0.17833795181103362,12,24,4.235,1
-0.9500511939490591,0.22738030167752532,12,24,4.76,1
-1.056045443073877,0.1583286373712942,12,24,4.348,1
-1.496818146261026,0.09207921194941111,12,24,4.059,1
-1.039788669798881,0.2573095029887935,12,24,4.521,1
-1.4019120983348983,0.2815575520948846,12,24,4.289,1
-1.3359937082823523,0.13719714277492184,12,24,4.259,1
-1.355728532264206,0.2254887216605926,12,24,4.259,1
-1.8433137828077402,0.109902004818338,12,24,3.751,1
-1.4481645603604563,0.22770865383969843,12,24,4.278,1
-1.1316905894237443,0.24430241119318094,12,24,4.538,1
0.9807466830370306,0.31024360126115125,16,24,7.09,2
-0.5783970133889575,0.22960024528433157,16,24,5.033,1
-0.9720203860650403,0.07609402178698559,16,24,4.669,1
-0.9621517072464216,0.15062618613135642,16,24,4.626,1
